Account,Date From,Date To,Bag Count,Vendor Name,City,State,Zip code
610,2012-03-01,2012-03-31,567,Brooklyn Deli Potomac,Potomac,MD,20854
417,2012-04-01,2012-05-30,4494,ASADO MD,Rockville,MD,20852
335,2012-03-01,2012-03-31,736,ALDO US INC,,DE,19801
643,2012-05-01,2012-05-31,2528,The Finish Line Inc,,IN,46235
223,2014-02-01,2014-02-28,8848,Sears Roebuck & Co,,IL,60179
331,2015-11-01,2015-11-30,5576,VIE DE FRANCE YAMAZAKI. INC,,VA,22182
448,2014-11-01,2014-11-30,1726,MARYVALE MARKET INC,Rockville,MD,20850
643,2013-08-01,2013-08-31,896,The Finish Line Inc,,IN,46235
859,2013-11-01,2013-11-30,177,Candy Man LLC,Silver Spring,MD,20902
204,2012-11-01,2012-11-30,8441,Eckerd Corporation,,PA,17319
1147,2016-07-01,2016-07-31,434,cana beer and wine inc,Germantown,MD,20874
1061,2013-06-01,2013-06-30,38,New Cingular Wireless PCS LLC,,FL,33408
607,2014-01-01,2014-04-30,1623,"Life4Animals, Inc",Gaithersburg,MD,20877
1234,2016-02-01,2016-02-29,2272,"Monument Restaurants VII, LLC",,VA,23220
142,2016-04-01,2016-04-30,1165,"MODELL'S MARYLAND II, INC.",,NY,10018
490,2012-03-01,2012-03-23,596,Far East restaurant,Rockville,MD,20852
1203,2015-02-01,2015-02-28,849,Ismet's Market LLC,Germantown,MD,20874
904,2014-11-01,2014-11-30,301,Brooklyns Deli Potomac LLC,Potomac,MD,20854
24,2013-02-01,2014-07-31,4762,"My Sushi, Inc.",Cabin John,MD,20818
107,2013-09-01,2013-09-30,706,THAI FARM RESTAURANT,Rockville,MD,20850
469,2014-06-01,2014-06-30,94,Gao's H&J of Maryland Inc,Rockville,MD,20850
219,2016-02-01,2016-02-29,14669,"Shalom Strictly Kosher Meats, Inc.",Silver Spring,MD,20902
92,2015-02-01,2015-02-28,351,Zoes Maryland LLC,,TX,75024
499,2013-11-01,2013-11-30,3108,"KUMAR ENTERPRISES, INC.",Boyds,MD,20841
1199,2015-11-01,2015-11-28,378,B Lane Inc dbd Fashion to Figure,,NY,10018
246,2013-06-01,2013-06-30,1626,"May Enterprises, Inc. (dba Subway)",Gaithersburg,MD,20877
689,2015-07-01,2015-09-30,282,"Washington Music Sales Center, Inc.",Silver Spring,MD,20902
701,2015-06-01,2015-06-30,64,C C Gourmet Deli Inc,Chevy Chase,MD,20815
259,2014-06-01,2014-06-30,245,Rainbow Sushi Inc,Germantown,MD,20874
848,2013-07-01,2013-07-31,97,YKM Inc,Rockville,MD,20852
457,2013-08-01,2013-08-31,525,W&C Inc,Chevy Chase,MD,20815
179,2012-07-01,2012-07-31,271,LA BAMBA RESTAURANT INC,Silver Spring,MD,20910
423,2012-02-01,2012-02-29,57,Ballet Petite,Bethesda,MD,20816
758,2014-04-01,2014-05-31,2754,"Holt Enterprises, Inc",Germantown,MD,20876
552,2012-11-01,2012-11-30,1625,"Chico's FAS, Inc.",,FL,33966
74,2015-10-01,2015-10-31,3846,"Bloomingdale's, Inc.",,OH,45202
362,2012-12-01,2012-12-31,125,Hwa Suk Lee,Silver Spring,MD,20906
130,2015-04-01,2015-04-30,309,"SEVA Enterprises, Inc.",Rockville,MD,20852
875,2015-04-01,2015-06-30,2335,Russian Gourmet LLC,,VA,22101
1044,2014-08-01,2014-12-31,8886,The Honeybaked Ham Company,Silver Spring,MD,20906
822,2012-06-01,2012-12-31,1997,"Cat Man Do, Inc.",Silver Spring,MD,20902
60,2016-04-01,2016-04-30,2114,Bradley Food & Beverage Inc,Bethesda,MD,20814
463,2014-12-01,2014-12-31,267,Red Ginger Chinese Restaurant,Kensington,MD,20895
876,2014-10-01,2014-10-31,403,"AREEHANT, LLC",Gaithersburg,MD,20879
589,2013-03-01,2013-03-31,25867,"Kohl's Department Stores, Inc.",,WI,53051
16,2014-11-01,2014-11-30,23629,"H&M, Hennes & Mauritz LP",,NJ,7031
422,2015-12-01,2015-12-31,10628,"Organic Foods Express, Inc",Rockville,MD,20852
1318,2016-07-01,2016-07-31,33,Salt House Corp.,Silver Spring,MD,20906
532,2013-10-01,2013-10-31,29226,"EVERLU FOOD, INC.",Rockville,MD,20852
1264,2016-02-01,2016-02-29,348,FAMILY SHOES INC,Takoma Park,MD,20912
33,2015-12-23,2016-01-22,553,A&H Seafood Market Partners LLC,Bethesda,MD,20814
435,2015-05-01,2015-05-31,97,"DALISSON,LLC",Silver Spring,MD,20910
174,2013-12-01,2013-12-31,3253,Party City - Rockville Inc.,Rockville,MD,20852
759,2014-06-01,2014-06-30,79,E&G VENTURES LLC,Rockville,MD,20853
51,2016-05-30,2016-06-26,43758,"HAR WHEATON, INC.",Silver Spring,MD,20902
1159,2014-06-01,2014-06-30,63,Plow and Hearth LLC,,VA,22727
866,2012-07-01,2012-12-31,2955,Washington Bagel Company,Rockville,MD,20852
458,2014-07-01,2014-07-31,587,Peter's Sub Shop,Takoma Park,MD,20912
876,2016-06-01,2016-06-30,403,"AREEHANT, LLC",Gaithersburg,MD,20879
770,2015-09-01,2015-09-30,41,DIAMOND DRUGS INC,Gaithersburg,MD,20877
713,2015-01-01,2015-01-31,135,DS Metro Inc,Rockville,MD,20850
459,2012-06-01,2012-06-30,375,Ziki LLC,Gaithersburg,MD,20878
392,2014-07-01,2014-07-31,8789,"MORAZAN GROCERY III, INC.",Gaithersburg,MD,20877
187,2013-02-01,2013-02-28,2109,Party City - Gaithersburg Inc.,Gaithersburg,MD,20878
810,2015-01-01,2015-03-31,3128,THAI CUISINE 2005 INC,Olney,MD,20832
496,2013-01-01,2013-01-31,326,SMSI INC.,Gaithersburg,MD,20877
349,2016-04-01,2016-04-30,888,Bethesda Sunoco,Bethesda,MD,20814
388,2015-11-01,2015-11-30,3203,Sanaie Corporation,Olney,MD,20832
553,2015-04-01,2015-04-30,1335,"White House Black Market, Inc.",,FL,33966
683,2015-07-01,2015-08-31,2648,"CHINA PAVILION, INC.",Bethesda,MD,20816
886,2013-04-30,2013-05-31,126,north high petro llc,Olney,MD,20832
362,2016-02-01,2016-02-29,34,Hwa Suk Lee,Silver Spring,MD,20906
28,2016-07-01,2016-07-31,1436,"Hardware City, Inc.",Kensington,MD,20895
263,2016-01-01,2016-01-31,1494,Elbes Beer and Wine,Silver Spring,MD,20902
838,2013-07-01,2013-08-31,2965,Guess Retail Inc,,CA,90021
344,2013-11-03,2013-11-30,1737,Loehmann's,,NY,10461
1205,2015-02-01,2015-02-28,179,KIM CHHENG LLC,Gaithersburg,MD,20877
1328,2016-06-01,2016-07-31,16706,Boston Market,,CO,80401
554,2016-01-01,2016-01-31,9,"Soma Intimates, LLC",,FL,33966
190,2013-02-01,2013-02-28,8,"DAVIDS BRIDAL, INC.",,PA,19428
219,2015-04-01,2015-04-30,17709,"Shalom Strictly Kosher Meats, Inc.",Silver Spring,MD,20902
206,2015-09-01,2015-09-30,2105,khunya Inc./7-Eleven,Silver Spring,MD,20904
427,2016-06-01,2016-06-30,199,"Tropicanas Restaurant, Inc",Takoma Park,MD,20912
825,2013-11-01,2013-11-30,55,ALICIA RESTAURANT INC,Rockville,MD,20850
249,2014-11-02,2014-11-29,629,"Madewell, Inc.",,NY,10003
142,2012-09-01,2012-09-30,2853,"MODELL'S MARYLAND II, INC.",,NY,10018
201,2014-12-07,2015-01-17,3759,"Petco Animal Supplies Stores, Inc.",,CA,92121
599,2014-11-01,2014-11-30,1412,Cheese & Wine Shoppe,Silver Spring,MD,20902
609,2014-05-01,2014-05-31,528,LOUIS VUITTON USA INC.,,NY,10022
341,2012-09-01,2012-09-30,272,19725A Inc,Germantown,MD,20874
155,2015-09-01,2015-09-30,11783,"HomeGoods, Inc",,MA,1701
74,2016-07-01,2016-07-31,3472,"Bloomingdale's, Inc.",,OH,45202
1172,2014-09-01,2014-09-30,633,M&M CALCAGNO LLC DBA GEMELLI'S ITALIAN MARKET,Gaithersburg,MD,20878
500,2015-01-01,2015-01-31,5134,7-eleven/11713A/2541,Silver Spring,MD,20906
217,2012-12-30,2013-02-02,1419,Record Town Inc.,,NY,12203
219,2016-06-01,2016-06-30,13846,"Shalom Strictly Kosher Meats, Inc.",Silver Spring,MD,20902
223,2014-03-01,2014-03-31,20508,Sears Roebuck & Co,,IL,60179
202,2015-04-01,2015-04-30,322,Jill Acquisition LLC,,MA,2169
48,2015-02-01,2015-02-28,552,LEBANESE TAVERNA ROCKVILLE INC,Rockville,MD,20850
201,2014-01-12,2014-02-01,2759,"Petco Animal Supplies Stores, Inc.",,CA,92121
576,2015-06-01,2015-06-30,3561,"Lerner New York, Inc",,NY,10001
59,2014-03-01,2014-03-31,4027,A.C. Moore Incorporated,,NJ,8009
421,2013-06-01,2013-06-30,1238,KCBW Inc,Germantown,MD,20874
887,2012-12-02,2012-12-29,3619,"Body Shop of America, Inc.",,FL,32217
508,2015-09-01,2015-09-30,353,"FAAN, INC.",Silver Spring,MD,20910
290,2015-11-01,2015-11-30,1125,laotao,Gaithersburg,MD,20878
948,2014-07-01,2014-08-31,2819,Runaway Chicken,Bethesda,MD,20814
1061,2016-07-01,2016-07-31,3,New Cingular Wireless PCS LLC,,FL,33408
528,2012-07-01,2012-07-31,2121,"LA CASITA, INC.",Silver Spring,MD,20910
